HID,"Lat,Lng"
HID1,"13.0674,80.2376"
HID2,"13.0441,80.2210"
HID3,"13.0304,80.2264"
HID4,"13.0387,80.2248"
HID5,"13.0325,80.2328"
HID6,"12.8915,80.2705"
HID7,"13.0542,80.2588"
HID8,"13.0325,80.2483"
HID9,"13.0326,80.2234"
HID10,"13.0487,80.2153"
HID11,"13.0292,80.2437"
HID12,"13.0365,80.2265"
HID13,"13.0804,80.2365"
HID14,"13.0412,80.2585"
HID15,"13.0530,80.2671"
HID16,"13.0264,80.2260"
HID17,"13.0611,80.2631"
HID18,"13.0794,80.2292"
HID19,"12.8611,80.2253"
HID20,"13.0674,80.2485"
HID21,"13.0352,80.2249"
HID22,"13.0514,80.2364"
HID23,"13.0615,80.2475"
HID24,"13.0690,80.2422"
HID25,"13.0595,80.2367"
HID26,"13.0694,80.2365"
HID27,"13.0787,80.2674"
HID28,"13.0625,80.2504"
HID29,"13.0692,80.2495"
HID30,"13.0461,80.2398"
HID31,"13.0570,80.2570"
HID32,"13.0515,80.2493"
HID33,"13.0368,80.2612"
HID34,"13.0538,80.2397"
HID35,"13.0722,80.2465"
HID36,"13.0569,80.2638"
HID37,"13.0423,80.2607"
HID38,"13.0650,80.2610"
HID39,"13.0369,80.2435"
HID40,"13.0452,80.2190"
HID41,"13.0163,80.2302"
HID42,"12.9106,80.2400"
HID43,"13.0701,80.2426"
HID44,"13.0681,80.2265"
HID45,"13.0775,80.2426"
HID46,"13.0671,80.2361"
HID47,"13.0287,80.2468"
HID48,"13.0290,80.2572"
HID49,"13.0662,80.2458"
HID50,"13.0582,80.2397"
HID51,"13.0501,80.2335"
HID52,"13.0462,80.2381"
HID53,"13.0454,80.2384"
HID54,"13.0726,80.2345"
HID55,"13.0560,80.2456"
HID56,"13.0345,80.2210"
HID57,"13.0420,80.2314"
HID58,"13.0456,80.2181"
HID59,"12.9567,80.2580"
HID60,"12.9143,80.2240"
HID61,"13.0583,80.2470"
HID62,"13.0598,80.2352"
HID63,"13.0524,80.2633"
HID64,"12.9111,80.2133"
HID65,"12.9391,80.1644"
HID66,"13.0496,80.2403"
HID67,"13.0383,80.2690"
HID68,"13.0524,80.2485"
HID69,"13.0415,80.2457"
HID70,"13.0860,80.2262"
HID71,"13.0465,80.2465"
HID72,"13.0618,80.2272"
HID73,"13.0736,80.2544"
HID74,"13.0619,80.2269"
HID75,"13.0631,80.2615"
HID76,"13.0724,80.2672"
HID77,"13.0463,80.2525"
HID78,"13.0604,80.2312"
HID79,"13.0612,80.2478"
HID80,"13.0459,80.2610"
HID81,"13.0496,80.2206"
HID82,"13.0595,80.2542"
HID83,"12.9171,80.2243"
HID84,"13.0302,80.2325"
HID85,"13.0711,80.2190"
HID86,"13.0678,80.2680"
HID87,"13.0716,80.2619"
HID88,"13.0394,80.2544"
HID89,"13.0726,80.2502"
HID90,"13.0517,80.2526"
HID91,"13.0682,80.2609"
HID92,"13.0460,80.2187"
HID93,"12.9867,80.2545"
HID94,"13.0682,80.2341"
HID95,"12.9612,80.2435"
HID96,"13.0724,80.2620"
HID97,"13.0347,80.2160"
HID98,"13.0743,80.2645"
HID99,"13.0741,80.2291"
HID100,"13.0485,80.2422"
